id,call_time,pct,street_add,street_name,date,Incident ID,Call Time,Precinct,Nearest Intersection,street1,street2
,,,,,2024-01-30,202403004025,2024-01-30 23:23:27,7.0,Joliet Pl & Rivard St,JOLIET PL,RIVARD ST
,,,,,2024-01-30,202403003820,2024-01-30 22:42:53,8.0,Clarita St & Bentler St,CLARITA ST,BENTLER ST
202403000302.0,2024-01-30 01:34:38,12.0,19581 DERBY ST, DERBY ST,2024-01-30,202403003763,2024-01-30 22:32:24,12.0,Puritan St & Wildemere St,PURITAN ST,WILDEMERE ST
202403001258.0,2024-01-30 08:10:12,12.0,19131 LESURE ST, LESURE ST,2024-01-30,202403003763,2024-01-30 22:32:24,12.0,Puritan St & Wildemere St,PURITAN ST,WILDEMERE ST
202403001294.0,2024-01-30 08:18:34,12.0,W MONTANA ST/JOHN R ST,W MONTANA ST/JOHN R ST,2024-01-30,202403003763,2024-01-30 22:32:24,12.0,Puritan St & Wildemere St,PURITAN ST,WILDEMERE ST
202403001330.0,2024-01-30 08:27:59,12.0,19498 DERBY ST, DERBY ST,2024-01-30,202403003763,2024-01-30 22:32:24,12.0,Puritan St & Wildemere St,PURITAN ST,WILDEMERE ST
202403004089.0,2024-01-30 18:41:37,12.0,434 W SAVANNAH ST, W SAVANNAH ST,2024-01-30,202403003763,2024-01-30 22:32:24,12.0,Puritan St & Wildemere St,PURITAN ST,WILDEMERE ST
202403000302.0,2024-01-30 01:34:38,12.0,19581 DERBY ST, DERBY ST,2024-01-30,202403001810,2024-01-30 15:26:22,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202403001258.0,2024-01-30 08:10:12,12.0,19131 LESURE ST, LESURE ST,2024-01-30,202403001810,2024-01-30 15:26:22,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202403001294.0,2024-01-30 08:18:34,12.0,W MONTANA ST/JOHN R ST,W MONTANA ST/JOHN R ST,2024-01-30,202403001810,2024-01-30 15:26:22,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202403001330.0,2024-01-30 08:27:59,12.0,19498 DERBY ST, DERBY ST,2024-01-30,202403001810,2024-01-30 15:26:22,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202403004089.0,2024-01-30 18:41:37,12.0,434 W SAVANNAH ST, W SAVANNAH ST,2024-01-30,202403001810,2024-01-30 15:26:22,12.0,Lesure St & W Outer Dr,LESURE ST,W OUTER DR
202403000302.0,2024-01-30 01:34:38,12.0,19581 DERBY ST, DERBY ST,2024-01-30,202403000424,2024-01-30 07:11:43,12.0,Sussex St & Vassar Ave,SUSSEX ST,VASSAR AVE
202403001258.0,2024-01-30 08:10:12,12.0,19131 LESURE ST, LESURE ST,2024-01-30,202403000424,2024-01-30 07:11:43,12.0,Sussex St & Vassar Ave,SUSSEX ST,VASSAR AVE
202403001294.0,2024-01-30 08:18:34,12.0,W MONTANA ST/JOHN R ST,W MONTANA ST/JOHN R ST,2024-01-30,202403000424,2024-01-30 07:11:43,12.0,Sussex St & Vassar Ave,SUSSEX ST,VASSAR AVE
202403001330.0,2024-01-30 08:27:59,12.0,19498 DERBY ST, DERBY ST,2024-01-30,202403000424,2024-01-30 07:11:43,12.0,Sussex St & Vassar Ave,SUSSEX ST,VASSAR AVE
202403004089.0,2024-01-30 18:41:37,12.0,434 W SAVANNAH ST, W SAVANNAH ST,2024-01-30,202403000424,2024-01-30 07:11:43,12.0,Sussex St & Vassar Ave,SUSSEX ST,VASSAR AVE
,,,,,2024-01-30,202403000224,2024-01-30 06:06:08,3.0,Hague St & Cameron St,HAGUE ST,CAMERON ST
202403000386.0,2024-01-30 02:02:21,9.0,15367 ROCHELLE ST, ROCHELLE ST,2024-01-30,202403000191,2024-01-30 05:55:16,9.0,Hazelridge St & Peoria St,HAZELRIDGE ST,PEORIA ST
