page,precinct,date,incidents_last_week,shots_fired_last_week,guns_recovered_last_week
1,8,2022-01-24,7,26,1.0
2,9,2022-01-24,30,114,1.0
3,8,2022-01-31,4,10,0.0
4,9,2022-01-31,21,71,1.0
5,8,2022-02-07,4,10,0.0
6,9,2022-02-07,21,81,0.0
7,8,2022-02-14,3,7,1.0
8,9,2022-02-14,5,8,0.0
9,8,2022-02-21,6,23,2.0
10,9,2022-02-21,28,64,0.0
11,8,2022-02-28,15,46,0.0
12,9,2022-02-28,36,122,1.0
13,8,2022-03-07,11,34,0.0
14,9,2022-03-07,51,181,4.0
15,8,2022-03-14,14,40,3.0
16,9,2022-03-14,34,125,2.0
17,8,2022-03-21,15,55,0.0
18,9,2022-03-21,54,267,0.0
19,8,2022-03-28,10,36,0.0
20,9,2022-03-28,42,156,0.0
21,8,2022-04-04,17,92,1.0
22,9,2022-04-04,44,138,0.0
23,8,2022-04-11,25,78,0.0
24,9,2022-04-11,35,131,0.0
25,8,2022-04-18,20,65,0.0
26,9,2022-04-18,37,151,2.0
27,8,2022-04-25,17,65,0.0
28,9,2022-04-25,42,182,0.0
29,8,2022-05-02,19,60,0.0
30,9,2022-05-02,51,127,2.0
31,8,2022-05-09,24,98,0.0
32,9,2022-05-09,46,165,4.0
33,8,2022-05-16,14,72,0.0
34,9,2022-05-16,42,130,1.0
35,8,2022-05-23,16,42,0.0
36,9,2022-05-23,58,225,2.0
37,8,2022-05-30,19,57,0.0
38,9,2022-05-30,56,285,5.0
39,8,2022-06-06,21,79,0.0
40,9,2022-06-06,68,195,0.0
41,8,2022-06-13,11,25,0.0
42,9,2022-06-13,48,189,1.0
43,8,2022-06-20,8,57,0.0
44,9,2022-06-20,37,143,2.0
45,8,2022-06-27,13,57,0.0
46,9,2022-06-27,36,239,0.0
47,8,2022-07-04,8,34,1.0
48,9,2022-07-04,36,198,0.0
49,8,2022-07-11,23,116,0.0
50,9,2022-07-11,22,134,0.0
51,8,2022-07-18,12,50,0.0
52,9,2022-07-18,36,177,1.0
53,8,2022-07-25,10,42,0.0
54,9,2022-07-25,39,167,1.0
55,8,2022-08-01,17,99,0.0
56,9,2022-08-01,48,210,1.0
57,8,2022-08-08,17,50,0.0
58,9,2022-08-08,45,194,0.0
59,8,2022-08-15,17,48,0.0
60,9,2022-08-15,41,218,0.0
61,8,2022-08-22,8,72,0.0
62,9,2022-08-22,56,209,1.0
63,8,2022-08-29,16,71,0.0
64,9,2022-08-29,44,213,2.0
65,8,2022-09-05,9,36,0.0
66,9,2022-09-05,53,228,1.0
67,8,2022-09-12,15,71,0.0
68,9,2022-09-12,49,199,2.0
69,8,2022-09-26,12,49,1.0
70,9,2022-09-26,27,178,2.0
71,8,2022-10-03,22,138,0.0
72,9,2022-10-03,54,226,0.0
73,8,2022-10-10,12,41,0.0
74,9,2022-10-10,42,152,0.0
75,8,2022-10-17,15,70,0.0
76,9,2022-10-17,41,150,1.0
77,8,2022-10-24,16,73,0.0
78,9,2022-10-24,46,194,0.0
79,8,2022-10-31,22,88,0.0
80,9,2022-10-31,55,268,0.0
81,8,2022-11-07,19,67,0.0
82,9,2022-11-07,52,212,0.0
83,8,2022-11-14,14,43,0.0
84,9,2022-11-14,63,262,0.0
85,8,2022-11-21,13,57,0.0
86,9,2022-11-21,48,169,3.0
87,8,2022-12-05,23,67,0.0
88,9,2022-12-05,35,147,0.0
89,8,2022-12-12,18,108,0.0
90,9,2022-12-12,43,171,0.0
91,8,2022-12-19,14,79,0.0
92,9,2022-12-19,41,196,0.0
1,8,2023-01-09,16,71,2.0
2,9,2023-01-09,123,376,0.0
3,8,2023-01-16,4,14,0.0
4,9,2023-01-16,133,404,2.0
5,8,2023-01-23,11,39,0.0
6,9,2023-01-23,116,302,3.0
7,8,2023-01-30,28,81,0.0
8,9,2023-01-30,91,324,2.0
9,8,2023-02-06,43,110,0.0
10,9,2023-02-06,105,531,0.0
11,8,2023-02-13,40,128,0.0
12,9,2023-02-13,118,432,6.0
13,6,2023-02-20,24,57,4.0
14,8,2023-02-20,42,121,0.0
15,9,2023-02-20,112,299,1.0
16,6,2023-02-27,62,197,0.0
17,8,2023-02-27,58,123,0.0
18,9,2023-02-27,125,603,0.0
19,12,2023-02-27,26,86,0.0
20,6,2023-03-06,64,203,1.0
21,8,2023-03-06,36,84,2.0
22,9,2023-03-06,112,331,3.0
